Year,Sector,CO2,CH4,N2O,HFCs
2010,AGRICULTURE TOTAL CO2 EQUIVALENT,43152,NA,NA,NA
2015,AGRICULTURE TOTAL CO2 EQUIVALENT,52703.549,NA,NA,NA
2020,AGRICULTURE TOTAL CO2 EQUIVALENT,54079.997,NA,NA,NA
2021,AGRICULTURE TOTAL CO2 EQUIVALENT,56535.31353333313,NA,NA,NA
2022,AGRICULTURE TOTAL CO2 EQUIVALENT,57628.11323333345,NA,NA,NA
2023,AGRICULTURE TOTAL CO2 EQUIVALENT,58720.91293333331,NA,NA,NA
2024,AGRICULTURE TOTAL CO2 EQUIVALENT,59813.712633333635,NA,NA,NA
2025,AGRICULTURE TOTAL CO2 EQUIVALENT,60906.51233333349,NA,NA,NA
2026,AGRICULTURE TOTAL CO2 EQUIVALENT,61999.31203333335,NA,NA,NA
2027,AGRICULTURE TOTAL CO2 EQUIVALENT,63092.11173333367,NA,NA,NA
2028,AGRICULTURE TOTAL CO2 EQUIVALENT,64184.91143333353,NA,NA,NA
2029,AGRICULTURE TOTAL CO2 EQUIVALENT,65277.711133333854,NA,NA,NA
2030,AGRICULTURE TOTAL CO2 EQUIVALENT,66370.51083333371,NA,NA,NA
2031,AGRICULTURE TOTAL CO2 EQUIVALENT,67463.31053333404,NA,NA,NA
2032,AGRICULTURE TOTAL CO2 EQUIVALENT,68556.1102333339,NA,NA,NA
2033,AGRICULTURE TOTAL CO2 EQUIVALENT,69648.90993333375,NA,NA,NA
2034,AGRICULTURE TOTAL CO2 EQUIVALENT,70741.70963333407,NA,NA,NA
2035,AGRICULTURE TOTAL CO2 EQUIVALENT,71834.50933333393,NA,NA,NA
2036,AGRICULTURE TOTAL CO2 EQUIVALENT,72927.30903333426,NA,NA,NA
2037,AGRICULTURE TOTAL CO2 EQUIVALENT,74020.10873333411,NA,NA,NA
2038,AGRICULTURE TOTAL CO2 EQUIVALENT,75112.90843333444,NA,NA,NA
2039,AGRICULTURE TOTAL CO2 EQUIVALENT,76205.7081333343,NA,NA,NA
2040,AGRICULTURE TOTAL CO2 EQUIVALENT,77298.50783333462,NA,NA,NA
2041,AGRICULTURE TOTAL CO2 EQUIVALENT,78391.30753333448,NA,NA,NA
2042,AGRICULTURE TOTAL CO2 EQUIVALENT,79484.10723333433,NA,NA,NA
2043,AGRICULTURE TOTAL CO2 EQUIVALENT,80576.90693333466,NA,NA,NA
2044,AGRICULTURE TOTAL CO2 EQUIVALENT,81669.70663333451,NA,NA,NA
2045,AGRICULTURE TOTAL CO2 EQUIVALENT,82762.50633333484,NA,NA,NA
2046,AGRICULTURE TOTAL CO2 EQUIVALENT,83855.3060333347,NA,NA,NA
2047,AGRICULTURE TOTAL CO2 EQUIVALENT,84948.10573333502,NA,NA,NA
2048,AGRICULTURE TOTAL CO2 EQUIVALENT,86040.90543333488,NA,NA,NA
2049,AGRICULTURE TOTAL CO2 EQUIVALENT,87133.70513333473,NA,NA,NA
2050,AGRICULTURE TOTAL CO2 EQUIVALENT,88226.50483333506,NA,NA,NA
2010,AGRICULTURE TOTAL EMISSIONS,696,33852,8603,NA
2015,AGRICULTURE TOTAL EMISSIONS,570.158,37852.255,14281.136,NA
2020,AGRICULTURE TOTAL EMISSIONS,765.083,38434.227,14880.687,NA
2021,AGRICULTURE TOTAL EMISSIONS,718.5301333333373,39462.16353333322,16354.886533333221,NA
2022,AGRICULTURE TOTAL EMISSIONS,725.4384333333383,39920.386233333265,16982.655233333353,NA
2023,AGRICULTURE TOTAL EMISSIONS,732.3467333333392,40378.60893333331,17610.42393333325,NA
2024,AGRICULTURE TOTAL EMISSIONS,739.255033333342,40836.83163333335,18238.192633333383,NA
2025,AGRICULTURE TOTAL EMISSIONS,746.163333333343,41295.054333333275,18865.961333333515,NA
2026,AGRICULTURE TOTAL EMISSIONS,753.0716333333439,41753.27703333332,19493.730033333413,NA
2027,AGRICULTURE TOTAL EMISSIONS,759.9799333333449,42211.49973333336,20121.498733333545,NA
2028,AGRICULTURE TOTAL EMISSIONS,766.8882333333459,42669.7224333334,20749.267433333443,NA
2029,AGRICULTURE TOTAL EMISSIONS,773.7965333333486,43127.945133333444,21377.036133333575,NA
2030,AGRICULTURE TOTAL EMISSIONS,780.7048333333496,43586.167833333486,22004.804833333706,NA
2031,AGRICULTURE TOTAL EMISSIONS,787.6131333333506,44044.39053333353,22632.573533333605,NA
2032,AGRICULTURE TOTAL EMISSIONS,794.5214333333515,44502.61323333345,23260.342233333737,NA
2033,AGRICULTURE TOTAL EMISSIONS,801.4297333333525,44960.835933333496,23888.110933333635,NA
2034,AGRICULTURE TOTAL EMISSIONS,808.3380333333535,45419.05863333354,24515.879633333767,NA
2035,AGRICULTURE TOTAL EMISSIONS,815.2463333333562,45877.28133333358,25143.648333333666,NA
2036,AGRICULTURE TOTAL EMISSIONS,822.1546333333572,46335.50403333362,25771.417033333797,NA
2037,AGRICULTURE TOTAL EMISSIONS,829.0629333333582,46793.726733333664,26399.18573333393,NA
2038,AGRICULTURE TOTAL EMISSIONS,835.9712333333591,47251.94943333359,27026.954433333827,NA
2039,AGRICULTURE TOTAL EMISSIONS,842.8795333333601,47710.17213333363,27654.72313333396,NA
2040,AGRICULTURE TOTAL EMISSIONS,849.7878333333629,48168.394833333674,28282.491833333857,NA
2041,AGRICULTURE TOTAL EMISSIONS,856.6961333333638,48626.617533333716,28910.26053333399,NA
2042,AGRICULTURE TOTAL EMISSIONS,863.6044333333648,49084.84023333376,29538.02923333412,NA
2043,AGRICULTURE TOTAL EMISSIONS,870.5127333333658,49543.0629333338,30165.79793333402,NA
2044,AGRICULTURE TOTAL EMISSIONS,877.4210333333667,50001.28563333384,30793.56663333415,NA
2045,AGRICULTURE TOTAL EMISSIONS,884.3293333333677,50459.50833333377,31421.33533333405,NA
2046,AGRICULTURE TOTAL EMISSIONS,891.2376333333705,50917.73103333381,32049.10403333418,NA
2047,AGRICULTURE TOTAL EMISSIONS,898.1459333333714,51375.95373333385,32676.87273333408,NA
2048,AGRICULTURE TOTAL EMISSIONS,905.0542333333724,51834.176433333894,33304.64143333421,NA
2049,AGRICULTURE TOTAL EMISSIONS,911.9625333333734,52292.399133333936,33932.41013333434,NA
2050,AGRICULTURE TOTAL EMISSIONS,918.8708333333743,52750.62183333398,34560.17883333424,NA
2010,Biological Treatment of Solid Waste,NA,35,32,NA
2015,Biological Treatment of Solid Waste,NA,70.936,40.282,NA
2020,Biological Treatment of Solid Waste,NA,391.664,222.335,NA
2021,Biological Treatment of Solid Waste,NA,379.86506666666537,212.40666666666948,NA
2022,Biological Treatment of Solid Waste,NA,415.53146666666726,231.4401666666672,NA
2023,Biological Treatment of Solid Waste,NA,451.19786666666914,250.47366666667222,NA
2024,Biological Treatment of Solid Waste,NA,486.86426666667103,269.50716666666995,NA
2025,Biological Treatment of Solid Waste,NA,522.5306666666875,288.54066666667495,NA
2026,Biological Treatment of Solid Waste,NA,558.1970666666894,307.5741666666727,NA
2027,Biological Treatment of Solid Waste,NA,593.8634666666912,326.6076666666777,NA
2028,Biological Treatment of Solid Waste,NA,629.5298666666931,345.6411666666827,NA
2029,Biological Treatment of Solid Waste,NA,665.196266666695,364.6746666666804,NA
2030,Biological Treatment of Solid Waste,NA,700.8626666666969,383.70816666668543,NA
2031,Biological Treatment of Solid Waste,NA,736.5290666666988,402.74166666668316,NA
2032,Biological Treatment of Solid Waste,NA,772.1954666667007,421.77516666668816,NA
2033,Biological Treatment of Solid Waste,NA,807.8618666667026,440.8086666666859,NA
2034,Biological Treatment of Solid Waste,NA,843.528266666719,459.8421666666909,NA
2035,Biological Treatment of Solid Waste,NA,879.1946666667209,478.8756666666959,NA
2036,Biological Treatment of Solid Waste,NA,914.8610666667228,497.90916666669364,NA
2037,Biological Treatment of Solid Waste,NA,950.5274666667246,516.9426666666986,NA
2038,Biological Treatment of Solid Waste,NA,986.1938666667265,535.9761666666964,NA
2039,Biological Treatment of Solid Waste,NA,1021.8602666667284,555.0096666667014,NA
2040,Biological Treatment of Solid Waste,NA,1057.5266666667303,574.0431666666991,NA
2041,Biological Treatment of Solid Waste,NA,1093.1930666667322,593.0766666667041,NA
2042,Biological Treatment of Solid Waste,NA,1128.859466666734,612.1101666667091,NA
2043,Biological Treatment of Solid Waste,NA,1164.525866666736,631.1436666667068,NA
2044,Biological Treatment of Solid Waste,NA,1200.1922666667524,650.1771666667119,NA
2045,Biological Treatment of Solid Waste,NA,1235.8586666667543,669.2106666667096,NA
2046,Biological Treatment of Solid Waste,NA,1271.5250666667562,688.2441666667146,NA
2047,Biological Treatment of Solid Waste,NA,1307.191466666758,707.2776666667123,NA
2048,Biological Treatment of Solid Waste,NA,1342.85786666676,726.3111666667173,NA
2049,Biological Treatment of Solid Waste,NA,1378.5242666667618,745.3446666667223,NA
2050,Biological Treatment of Solid Waste,NA,1414.1906666667637,764.3781666667201,NA
2010,Biomass Burning - Forests,NA,7,2,NA
2015,Biomass Burning - Forests,937.278,NA,NA,NA
2020,Biomass Burning - Forests,744.594,NA,NA,NA
2021,Biomass Burning - Forests,744.594,7,2,NA
2022,Biomass Burning - Forests,744.594,7,2,NA
2023,Biomass Burning - Forests,744.594,7,2,NA
2024,Biomass Burning - Forests,744.594,7,2,NA
2025,Biomass Burning - Forests,744.594,7,2,NA
2026,Biomass Burning - Forests,744.594,7,2,NA
2027,Biomass Burning - Forests,744.594,7,2,NA
2028,Biomass Burning - Forests,744.594,7,2,NA
2029,Biomass Burning - Forests,744.594,7,2,NA
2030,Biomass Burning - Forests,744.594,7,2,NA
2031,Biomass Burning - Forests,744.594,7,2,NA
2032,Biomass Burning - Forests,744.594,7,2,NA
2033,Biomass Burning - Forests,744.594,7,2,NA
2034,Biomass Burning - Forests,744.594,7,2,NA
2035,Biomass Burning - Forests,744.594,7,2,NA
2036,Biomass Burning - Forests,744.594,7,2,NA
2037,Biomass Burning - Forests,744.594,7,2,NA
2038,Biomass Burning - Forests,744.594,7,2,NA
2039,Biomass Burning - Forests,744.594,7,2,NA
2040,Biomass Burning - Forests,744.594,7,2,NA
2041,Biomass Burning - Forests,744.594,7,2,NA
2042,Biomass Burning - Forests,744.594,7,2,NA
2043,Biomass Burning - Forests,744.594,7,2,NA
2044,Biomass Burning - Forests,744.594,7,2,NA
2045,Biomass Burning - Forests,744.594,7,2,NA
2046,Biomass Burning - Forests,744.594,7,2,NA
2047,Biomass Burning - Forests,744.594,7,2,NA
2048,Biomass Burning - Forests,744.594,7,2,NA
2049,Biomass Burning - Forests,744.594,7,2,NA
